year,ticker,grossprofit,netincome,revenue
2019,NSC,5095,2722,11296
2019,AEP,5106.8,1921.1,15561.4
2019,ADM,5139,1379,64656
2019,CB,5198,4454,34179
2019,SWK,5218,955.8,14442.2
2019,AMT,5233.9,1887.8,7580.3
2019,MGM,5296.183,2046.433,12899.672
2019,PCAR,5323.2,2387.9,25599.7
2019,URI,5376,1174,9351
2019,RF,5474,1582,6755
2019,IP,5490,1225,22376
2018,LB,5503,644,13237
2019,SCHW,5507,3704,11785
2019,WDC,5556,-754,16569
2019,TT,5631,1410.9,16598.9
2018,PVH,5637.2,746.4,9656.8
2019,PGR,5656.1,3970.3,38997.7
2019,ORLY,5665.566,1391.042,10149.985
2019,AMP,5700,1893,12886
2019,BAX,5705,1001,11362
2019,CARR,5790,2116,18608
2018,DXC,5807,1257,20753
2019,GLW,5813,960,11503
2019,INTU,5836,1557,6784
2019,BKR,5850,128,23838
2019,BLK,5883,4476,14539
2019,KEY,5923,1717,7694
2019,FIS,5984,298,10333
2019,MTB,6015.943,1929.149,6941.272
2019,CTVA,6068,-959,13846
2019,WM,6077,1670,15455
2019,NTRS,6087.6,1492.2,6895.1
2019,CFG,6098,1791,8066
2019,CTSH,6174,1842,16783
2019,ITW,6189,2521,14109
2019,TSN,6191,2022,42405
2019,VTRS,6210.1,16.8,11500.5
2019,ZBH,6210.5,1131.6,7982.2
2019,CSX,6223,3331,11937
2019,VLO,6225,2422,102729
2019,PSX,6281,3076,107293
2019,GPC,6325.877,621.085,19392.305
2019,KMI,6339,2190,13209
2019,FISV,6424,893,10187
2018,GIS,6442.5,1752.7,16865.2
2019,ADP,6497.6,2292.8,14175.2
2019,PPG,6501,1243,15154
2019,CMI,6629,2260,23571
2019,AZO,6734.958,1617.221,11863.743
2019,AMAT,6749,2706,14608
2019,LYB,6761,3390,34727
2018,GPS,6897,1003,16580
2019,LVS,6907,2698,13739
2019,FITB,6972,2512,8900
2019,SLB,7079,-10137,32917
2019,SBUX,7127.9,3599.2,26508.6
2019,ALL,7129,4847,44675
2019,ECL,7194.7,1558.9,14906.3
2019,CAH,7274,1363,145534
2019,LUV,7326,2300,22428
2019,KMB,7368,2157,18450
2018,VFC,7405.528,1259.792,13848.66
2018,NVDA,7468,4141,11716
2018,DLTR,7503.2,-1590.8,22823.3
2019,NFLX,7819.813,1866.916,20156.447
2019,TRV,7847,2622,31581
2019,ETN,7871,2211,21390
2019,GD,7888,3484,39350
2019,CCL,7916,2990,20825
2019,BSX,8016,4700,10735
2019,D,8248,1358,16572
2018,DG,8258.004,1589.472,25625.043
2019,NOC,8277,2248,33841
2019,SHW,8298.2,1541.3,17900.8
2019,SO,8397,4754,21419
2019,EMR,8399,2306,18372
2019,DD,8472,498,21512
2019,JCI,8518,5674,23968
2019,DOW,8584,-1359,42951
2019,EBAY,8927,1786,10800
2019,EXC,8942,2936,34438
2019,CNC,9185,1321,74639
2019,KHC,9189,1935,24977
2019,NEE,9604,3769,19204
2019,LMT,9616,6230,59812
2019,CL,9793,2367,15693
2019,ADBE,9898.733,2951.458,11171.297
2019,TXN,9926,5017,14383
2019,COF,9969,5546,33907
2019,EXPE,9990,565,12067
2019,DISCA,10111,2049,11144
2019,SYK,10121,2083,14884
2019,HCA,10184,3505,51336
2019,MA,10186,8118,16883
2019,PYPL,10279,2459,17772
2019,DUK,10293,3748,25079
2019,BDX,10418,1233,17290
2018,CRM,10457,1110,13282
2019,UPS,10510,4440,74094
2019,UNP,10715,5919,21708
2018,BBY,10731,1464,42879
2019,AXP,10770,6759,47020
2019,OXY,11022,-667,20393
2019,MDLZ,11084,3870,25868
2019,HUM,11148,2707,64888
2019,DHR,11173.2,3008.2,17911.1
2019,VIAC,11178,3308,27812
2019,LIN,11596,2285,28228
2019,AIG,11623,3348,49310
2019,STT,11746,2242,13131
2019,HPE,11768,1049,29135
2019,HPQ,11793,3152,58756
2018,MCK,11873,34,214319
2018,TJX,11960.657,3059.798,38972.934
2019,TFC,11971,3224,14682
2019,EL,12047,1785,14866
2019,SYY,12118.587,1674.271,60113.922
2019,LUMN,12324,-5269,22401
2019,QCOM,12352,4386,19550
2019,TMO,12412,3696,25542
2019,MCD,12507.5,6025.4,21076.5
2019,BIIB,12613.1,5888.5,14377.9
2019,DE,12845,3253,39258
2019,MO,12895,-1293,19796
2019,MPC,12955,2637,123949
2019,DAL,12963,4767,47007
2019,UAL,13110,3009,43259
2019,EOG,13510.443,2734.91,17122.002
2019,HON,13734,6143,36709
2019,AAL,13741,1686,45768
2019,MET,13891,5899,69744
2019,ACN,13932.634,4779.112,43215.013
2019,COP,14450,7189,32567
2019,BA,14978,-636,84818
2019,BKNG,15066,4865,15066
