"year","iso_a3","currency_code","name","local_price","dollar_ex","dollar_price","gdp_dollar"
2012,"CHN","CNY","China",15.525,6.352,2.4440797125,4382.136
2012,"COL","COP","Colombia",8500,1828.3125,4.650599485,6273.372
2012,"CRI","CRC","Costa Rica",2050,509.54,4.023236645,NA
2012,"CZE","CZK","Czech Republic",70.275,20.706675,3.3947117625,18288.284
2012,"DNK","DKK","Denmark",30,5.998475,5.009605516,56147.143
2012,"EGY","EGP","Egypt",15.75,6.05175,2.602467754,2788.829
2012,"EUZ","EUR","Euro area",3.5379693055,0.806541889,4.387569734,36947
2012,"GBR","GBP","Britain",2.59,0.64875993,3.992883251,36119.846
2012,"HKG","HKD","Hong Kong",16.5,7.76275,2.1255361555,31590.681
2012,"HUN","HUF","Hungary",737.5,241.954675,3.0547300115,12879.296
2012,"IDN","IDR","Indonesia",23367,9321.25,2.506056635,3015.374
2012,"IND","INR","India",86.5,54.035,1.601478977,1264.839
2012,"ISR","ILS","Israel",13.9,3.962375,3.525414845,28685.616
2012,"JPN","JPY","Japan",320,77.57,4.12559586,42820.392
2012,"KOR","KRW","South Korea",3700,1154.875,3.203846006,20590.962
2012,"LKA","LKR","Sri Lanka",290,122.465,2.379581543,NA
2012,"MEX","MXN","Mexico",37,13.6857,2.703551907,9565.962
2012,"MYS","MYR","Malaysia",7.375,3.156525,2.3364550715,8423.176
2012,"NOR","NOK","Norway",42,6.065975,6.92328561,84443.634
2012,"NZL","NZD","New Zealand",5.1,1.266781068,4.0260675005,32145.233
2012,"PAK","PKR","Pakistan",272.5,92.3275,2.9499053035,1049.749
2012,"PER","PEN","Peru",10,2.6925,3.714020427,5171.651
2012,"PHL","PHP","Philippines",118,43.1025,2.7388609975,2007.362
2012,"POL","PLN","Poland",9.1,3.4904,2.6073443005,12300.126
2012,"RUS","RUB","Russia",78,32.267275,2.4193208545,10437.49
2012,"SAU","SAR","Saudi Arabia",10,3.750225,2.6665066765,16995.78
2012,"SGP","SGD","Singapore",4.625,1.27565,3.6238863475,43116.689
2012,"SWE","SEK","Sweden",40.486509935,6.95575,5.820872448,48874.608
2012,"THA","THB","Thailand",80,31.725,2.521721851,4991.525
2012,"TUR","TRY","Turkey",7.425,1.844925,4.029307353,10398.685
2012,"TWN","TWD","Taiwan",75,30.0875,2.492761657,18457.752
2012,"UKR","UAH","Ukraine",16,8.063,1.9847346075,NA
2012,"URY","UYU","Uruguay",94.5,20.66,4.576999164,NA
2012,"USA","USD","United States",4.26236,1,4.26236,47283.633
2012,"ZAF","ZAR","South Africa",19.95,8.29935,2.404799276,7157.801
2013,"ARE","AED","UAE",12,3.673025,3.2670618905,NA
2013,"ARG","ARS","Argentina",20,5.1945,3.8489259795,10959.082
2013,"AUS","AUD","Australia",4.8675,1.024476739,4.7601596245,66371.218
2013,"BRA","BRL","Brazil",11.625,2.132,5.4642979275,12788.551
2013,"CAN","CAD","Canada",5.47,1.027075,5.327380324,50496.043
2013,"CHE","CHF","Switzerland",6.5,0.93985,6.921945005,83072.845
2013,"CHL","CLP","Chile",2025,489.9525,4.1406644905,14403.111
2013,"CHN","CNY","China",16,6.17725,2.5902757295,5416.668
2013,"COL","COP","Colombia",8600,1847.0875,4.6634460415,7114.33
2013,"CRI","CRC","Costa Rica",2175,499.7525,4.352066691,NA
2013,"CZE","CZK","Czech Republic",70.39,19.538875,3.6063772595,20435.875
2013,"DNK","DKK","Denmark",28.5,5.649275,5.04851757,59708.962
2013,"EGY","EGP","Egypt",16.375,6.84745,2.3914415145,2931.827
2013,"EUZ","EUR","Euro area",3.6093600305,0.757351501,4.7687113065,40137.01059
2013,"GBR","GBP","Britain",2.69,0.651177231,4.1341264985,38811.424
2013,"HKG","HKD","Hong Kong",17,7.757875,2.191321776,34259.337
2013,"HUN","HUF","Hungary",845,222.965675,3.790465976,14050.009
2013,"IDN","IDR","Indonesia",27939,9866.25,2.8320586985,3511.799
2013,"IND","INR","India",89.5,56.6875,1.5836614515,1513.618
2013,"ISR","ILS","Israel",16.2,3.68525,4.4001648425,32350.817
2013,"JPN","JPY","Japan",320,95.585,3.3553085295,45869.72
2013,"KOR","KRW","South Korea",3800,1110.5875,3.4213257215,22424.062
2013,"LKA","LKR","Sri Lanka",360,128.625,2.7983193125,NA
2013,"MEX","MXN","Mexico",37,12.839775,2.8818500805,10146.041
2013,"MYS","MYR","Malaysia",7.625,3.13175,2.436946875,10084.608
2013,"NOR","NOK","Norway",44.5,5.8056,7.6743419625,97607.32
2013,"NZL","NZD","New Zealand",5.35,1.2408869405,4.311827501,35973.02
2013,"PAK","PKR","Pakistan",295,98.85,2.9841421575,1199.111
2013,"PER","PEN","Peru",10,2.67125,3.750128894,5904.494
2013,"PHL","PHP","Philippines",116.605,42.02,2.7792839225,2344.889
2013,"POL","PLN","Poland",9.15,3.22875,2.8383497375,13468.655
2013,"RUS","RUB","Russia",79.94,31.49195,2.5334743745,12993.358
2013,"SAU","SAR","Saudi Arabia",10.5,3.7502,2.7998506745,21196.287
2013,"SGP","SGD","Singapore",4.6,1.254775,3.6656546905,49270.872
2013,"SWE","SEK","Sweden",41.08465069,6.55375,6.2724850625,57638.234
2013,"THA","THB","Thailand",88,30.515,2.8848008805,5394.714
2013,"TUR","TRY","Turkey",8.475,1.8631,4.5598846915,10362.609
2013,"TWN","TWD","Taiwan",77,29.76525,2.586517285,20082.918
2013,"UKR","UAH","Ukraine",19,8.1495,2.331432438,NA
2013,"URY","UYU","Uruguay",105,20.1825,5.212950791,NA
2013,"USA","USD","United States",4.46203125,1,4.46203125,48327.861
2013,"ZAF","ZAR","South Africa",21.7,9.547125,2.2747884045,8078.451
2014,"ARE","AED","UAE",12.5,3.673025,3.4031885425,NA
2014,"ARG","ARS","Argentina",21,7.545,2.802453385,11270.781
2014,"AUS","AUD","Australia",5.075,1.0941187165,4.6438437495,67113.549
2014,"BRA","BRL","Brazil",12.7,2.29165,5.551326053,12112.972
2014,"CAN","CAD","Canada",5.59,1.089575,5.132136583,51492.384
2014,"CHE","CHF","Switzerland",6.33,0.906225,6.9843529175,81208.549
2014,"CHL","CLP","Chile",2050,553.045,3.706428788,14851.7315
2014,"CHN","CNY","China",16.75,6.1248,2.7348831285,5747.159
2014,"COL","COP","Colombia",8600,1915.2225,4.4959364615,7525.023
2014,"CRI","CRC","Costa Rica",2150,519.61,4.142520045,NA
2014,"CZE","CZK","Czech Republic",70.45,20.33575,3.4643649615,19567.671
2014,"DNK","DKK","Denmark",28.5,5.5201,5.163009197,58092.406
2014,"EGY","EGP","Egypt",16.93,7.055525,2.399968716,3055.389
2014,"EUZ","EUR","Euro area",3.668600507,0.7399836945,4.9576930025,38512.65719
2014,"GBR","GBP","Britain",2.84,0.594897302,4.775967248,38905.316
2014,"HKG","HKD","Hong Kong",18.4,7.75415,2.3729480415,35424.89
2014,"HUN","HUF","Hungary",860,225.7016,3.810848212,13296.984
2014,"IDN","IDR","Indonesia",27939,11822.5,2.364911377,3551.2305
2014,"IND","INR","India",100,60.966875,1.641756796,1514.126
2014,"ISR","ILS","Israel",17.5,3.451,5.071583219,32900.8725
2014,"JPN","JPY","Japan",340,102.8875,3.3090034055,46200.052
2014,"KOR","KRW","South Korea",3900,1045.525,3.7357878285,22507.11
2014,"LKA","LKR","Sri Lanka",350,130.5275,2.6814389725,NA
2014,"MEX","MXN","Mexico",39.5,13.13265,3.0113703955,10128.3635
2014,"MYS","MYR","Malaysia",7.515,3.2455,2.317704078,10235.884
2014,"NOR","NOK","Norway",48,6.172375,7.776630657,98428.162
2014,"NZL","NZD","New Zealand",5.6,1.1778726355,4.7583125,37178.963
2014,"PAK","PKR","Pakistan",310,102.0475,3.0378754145,1229.9235
2014,"PER","PEN","Peru",10,2.79725,3.5749787655,6227.065
2014,"PHL","PHP","Philippines",147.5,44.2175,3.3440098615,2478.196
2014,"POL","PLN","Poland",9.2,3.0699,2.9968410035,13088.8085
2014,"RUS","RUB","Russia",89,34.38825,2.588534609,13504.554
2014,"SAU","SAR","Saudi Arabia",11,3.750375,2.9330400295,23167.6455
2014,"SGP","SGD","Singapore",4.65,1.258425,3.6967137715,51393.4555
2014,"SWE","SEK","Sweden",40.7,6.654575,6.120642427,56233.6695
2014,"THA","THB","Thailand",97.5,32.3275,3.0176594315,5392.564
2014,"TUR","TRY","Turkey",8.875,2.1764,4.090838048,10442.9845
2014,"TWN","TWD","Taiwan",79,30.0715,2.6270954155,20234.6965
2014,"UKR","UAH","Ukraine",19,10.032,1.946794978,NA
2014,"URY","UYU","Uruguay",109,22.175,4.915296032,NA
2014,"USA","USD","United States",4.7095833335,1,4.7095833335,50018.4215
2014,"ZAF","ZAR","South Africa",24,10.696075,2.2452543275,7696.2325
2014,"VNM","VND","Vietnam",60000,21230,2.826189355,NA
2015,"ARE","AED","UAE",13,3.673,3.5393411385,NA
2015,"ARG","ARS","Argentina",28,8.8725,3.15858331,13790.8865
2015,"AUS","AUD","Australia",5.3,1.289239892,4.1204849995,62898.673
2015,"BRA","BRL","Brazil",13.5,2.87255,4.744673059,11388.497
2015,"CAN","CAD","Canada",5.775,1.259125,4.5877771985,51217.505
2015,"CHE","CHF","Switzerland",6.5,0.907225,7.1828322715,84375.795
2015,"CHL","CLP","Chile",2100,634.9675,3.3077152065,15126.406
2015,"CHN","CNY","China",17.1,6.21035,2.753465114,7273.841
2015,"COL","COP","Colombia",7900,2536.94,3.1283608465,8053.1795
2015,"CRI","CRC","Costa Rica",2150,534.695,4.0210112955,NA
2015,"CZE","CZK","Czech Republic",70.225,24.41775,2.8764794685,19217.1695
2015,"DNK","DKK","Denmark",34.545,6.614225,5.22726055,59846.375
2015,"EGY","EGP","Egypt",16.93,7.59005,2.2327842815,3273.3045
2015,"EUZ","EUR","Euro area",3.69,0.887886814,4.1588685,39336.01482
2015,"GBR","GBP","Britain",2.89,0.65102266,4.4403405,42512.5315
2015,"HKG","HKD","Hong Kong",19,7.751075,2.4512738065,38913.272
2015,"HUN","HUF","Hungary",880,277.135625,3.1752084565,13634.553
2015,"IDN","IDR","Indonesia",29219.5,12912.25,2.2621438725,3521.6765
2015,"IND","INR","India",116.25,62.5225,1.859722445,1568.2385
2015,"ISR","ILS","Israel",17.5,3.85625,4.5399401755,36958.656
2015,"JPN","JPY","Japan",370,120.85,3.0636431045,37399.764
2015,"KOR","KRW","South Korea",4200,1113.4,3.772558311,27037.8925
2015,"LKA","LKR","Sri Lanka",350,132.8625,2.6344479125,NA
2015,"MEX","MXN","Mexico",49,15.183625,3.2314959235,10682.3665
2015,"MYS","MYR","Malaysia",7.64,3.711,2.0600391975,10630.206
2015,"NOR","NOK","Norway",47,7.882525,5.9732412505,98796.1145
2015,"NZL","NZD","New Zealand",5.9,1.4111880735,4.2010950005,42176.617
2015,"PAK","PKR","Pakistan",325,101.2175,3.2098027385,1308.743
2015,"PER","PEN","Peru",10,3.09575,3.2328324405,6499.638
2015,"PHL","PHP","Philippines",163,44.81125,3.6377710975,2828.1815
2015,"POL","PLN","Poland",9.4,3.7401,2.513024427,13906.9425
2015,"RUS","RUB","Russia",98,61.021,1.62388555,13758.647
2015,"SAU","SAR","Saudi Arabia",11.5,3.753725,3.063738324,24703.551
2015,"SGP","SGD","Singapore",4.7,1.349775,3.482590152,55750.9105
2015,"SWE","SEK","Sweden",42.2,8.35705,5.04805423,58252.818
2015,"THA","THB","Thailand",103.5,33.34625,3.1023304755,5560.178
2015,"TUR","TRY","Turkey",9.75,2.489575,3.919149247,10601.6015
2015,"TWN","TWD","Taiwan",79,31.2565,2.5276189935,21761.3255
2015,"UKR","UAH","Ukraine",26.5,18.886,1.374917253,NA
2015,"URY","UYU","Uruguay",113,25.885,4.3793949445,NA
2015,"USA","USD","United States",4.79,1,4.79,53798.8125
2015,"VNM","VND","Vietnam",60000,21595,2.778696361,NA
2015,"ZAF","ZAR","South Africa",25.75,11.94665,2.157906496,6551.9375
2016,"ARE","AED","UAE",13,3.6731,3.53924478,NA
2016,"ARG","ARS","Argentina",41.5,14.372125,2.8687715985,13162.021
2016,"AUS","AUD","Australia",5.525,1.3757332035,4.0241962505,56014.0095
2016,"BRA","BRL","Brazil",14.5,3.633125,4.0680072725,10121.349
2016,"CAN","CAD","Canada",5.92,1.3561,4.374476769,46817.993
2016,"CHE","CHF","Switzerland",6.5,0.99745,6.5174612685,83571.8315
2016,"CHL","CLP","Chile",2200,683.1675,3.2342775075,13910.367
2016,"CHN","CNY","China",18.1,6.6181,2.7344641245,7780.6315
2016,"COL","COP","Colombia",8400,3091.45,2.733217762,7005.7855
2016,"CRI","CRC","Costa Rica",2200,540.82,4.067376155,NA
2016,"CZE","CZK","Czech Republic",75,24.845375,3.019107215,18391.6595
2016,"DNK","DKK","Denmark",30,6.848825,4.381098381,56530.774
2016,"EGY","EGP","Egypt",19.965,8.355,2.376143773,3522.0005
2016,"EUZ","EUR","Euro area",3.77,0.9192695105,4.1023144995,37071.851255
2016,"GBR","GBP","Britain",2.94,0.7216867345,4.0810392505,44749.9775
2016,"HKG","HKD","Hong Kong",19.2,7.753875,2.47618136,41211.082
2016,"HUN","HUF","Hungary",900,289.159375,3.1129316265,13054.716
2016,"IDN","IDR","Indonesia",30750,13530,2.275464081,3443.216
2016,"IND","INR","India",144.5,67.00125,2.1559203705,1612.4775
2016,"ISR","ILS","Israel",16.9,3.8999,4.3339269665,36282.86
2016,"JPN","JPY","Japan",370,112.685,3.292700495,34353.6785
2016,"KOR","KRW","South Korea",4350,1169.35,3.723250066,27582.8455
2016,"LKA","LKR","Sri Lanka",440,145.125,3.0274414525,NA
2016,"MEX","MXN","Mexico",46.5,17.985875,2.5920219745,9896.872
2016,"MYS","MYR","Malaysia",8,4.20975,1.9039383985,10303.027
2016,"NOR","NOK","Norway",46.8,8.7341,5.3623757785,85876.2955
2016,"NZL","NZD","New Zealand",5.95,1.464715626,4.066795,40204.0615
2016,"PAK","PKR","Pakistan",337.5,104.8525,3.218918537,1387.884
2016,"PER","PEN","Peru",10,3.361925,2.9753140865,6234.819
2016,"PHL","PHP","Philippines",132,47.06875,2.804390277,2860.262
2016,"POL","PLN","Poland",9.6,4.006675,2.3962528965,13453.4145
2016,"RUS","RUB","Russia",122,69.031275,1.788626673,10886.3005
2016,"SAU","SAR","Saudi Arabia",12,3.7524,3.1979541295,22532.3795
2016,"SGP","SGD","Singapore",5.075,1.397475,3.6421377495,54587.1615
2016,"SWE","SEK","Sweden",44.97,8.59835,5.230072658,54202.1635
2016,"THA","THB","Thailand",115.5,35.5925,3.2478088245,5819.3215
2016,"TUR","TRY","Turkey",10.5,3.026325,3.469204079,9909.1985
2016,"TWN","TWD","Taiwan",69,32.63025,2.1153204485,22443.6635
2016,"UKR","UAH","Ukraine",37.5,24.075,1.557168267,NA
2016,"URY","UYU","Uruguay",118,30.175,3.910577298,NA
2016,"USA","USD","United States",4.985,1,4.985,55087.515
2016,"VNM","VND","Vietnam",60000,22383.75,2.680553525,NA
2016,"ZAF","ZAR","South Africa",29,15.04375,1.9361856215,6088.6625
