"year","state","avg_house_price"
1988,"MO",64600.890714
1989,"MO",65423.72527
1990,"MO",67374.238225
1991,"MO",67443.028125
1992,"MO",68632.582445
1993,"MO",70666.105754
1994,"MO",73628.630325
1995,"MO",76748.848559
1996,"MO",79385.534874
1997,"MO",82991.04626
1998,"MO",85307.635877
1999,"MO",90662.705709
2000,"MO",95361.791683
2001,"MO",100354.82288
2002,"MO",106199.49075
2003,"MO",112383.9709
2004,"MO",118590.78716
2005,"MO",124777.33838
2006,"MO",131707.04165
2007,"MO",133221.07499
2008,"MO",128632.02741
2009,"MO",121723.22688
2010,"MO",120271.94459
2011,"MO",111773.5138
2012,"MO",110154.53752
2013,"MO",113709.34326
2014,"MO",119709.92878
2015,"MO",123285.17681
2016,"MO",131205.76543
2017,"MO",137206.96731
2018,"MO",145373.67193
1975,"MS",42724.040318
1976,"MS",41537.84142
1977,"MS",42094.236719
1978,"MS",46913.394145
1979,"MS",51933.830884
1980,"MS",52598.775468
1981,"MS",59616.177133
1982,"MS",52509.970756
1983,"MS",60212.306034
1984,"MS",62841.520237
1985,"MS",63505.346844
1986,"MS",66413.947009
1987,"MS",67402.752713
1988,"MS",67192.212691
1989,"MS",66919.585337
1990,"MS",68364.493156
1991,"MS",69518.509785
1992,"MS",71695.586603
1993,"MS",72378.453204
1994,"MS",76064.70887
1995,"MS",80810.410249
1996,"MS",83389.524194
1997,"MS",87624.835674
1998,"MS",89971.649317
1999,"MS",93996.996149
2000,"MS",98159.50455
2001,"MS",100127.93547
2002,"MS",102563.72755
2003,"MS",106156.20504
2004,"MS",108437.05006
2005,"MS",115119.3139
2006,"MS",124753.37015
2007,"MS",133275.13591
2008,"MS",132677.04613
2009,"MS",127168.2264
2010,"MS",123276.42458
2011,"MS",119021.13617
2012,"MS",117552.75617
2013,"MS",119881.36843
2014,"MS",122431.93829
2015,"MS",125310.93869
2016,"MS",129626.48777
2017,"MS",131898.86246
2018,"MS",136434.25374
1975,"MT",26467.929176
1976,"MT",29556.642688
1977,"MT",32363.505483
1978,"MT",39713.068122
1979,"MT",44648.109439
1980,"MT",45725.425764
1981,"MT",50358.330792
1982,"MT",49415.665587
1983,"MT",48160.408793
1984,"MT",51858.834756
1985,"MT",51236.912214
1986,"MT",54296.783974
1987,"MT",52155.683719
1988,"MT",50774.049512
1989,"MT",52541.071808
1990,"MT",54339.157897
1991,"MT",56920.385708
1992,"MT",61422.006914
1993,"MT",68555.512875
1994,"MT",75671.016515
1995,"MT",82713.734896
1996,"MT",84408.121113
1997,"MT",88011.251712
1998,"MT",89267.680842
1999,"MT",91734.390685
2000,"MT",95953.992136
2001,"MT",100414.34444
2002,"MT",104911.69659
2003,"MT",111640.73249
2004,"MT",121539.21583
2005,"MT",134228.01688
2006,"MT",151666.6552
2007,"MT",164166.36851
2008,"MT",168100.77335
2009,"MT",162895.00938
2010,"MT",157292.19035
2011,"MT",148690.29029
2012,"MT",146353.45467
2013,"MT",155421.64102
2014,"MT",163347.98554
2015,"MT",170370.70403
2016,"MT",178211.94306
2017,"MT",188916.28007
2018,"MT",200660.09218
1975,"NC",28397.70091
1976,"NC",30490.657531
1977,"NC",31369.76558
1978,"NC",34193.765002
1979,"NC",37326.515257
1980,"NC",41253.043258
1981,"NC",43954.413421
1982,"NC",44069.704424
1983,"NC",46673.970278
1984,"NC",49296.168039
1985,"NC",52676.595113
1986,"NC",55830.599451
1987,"NC",59470.787314
1988,"NC",62333.186461
1989,"NC",65173.035624
1990,"NC",66752.716903
1991,"NC",67925.221694
1992,"NC",68934.553676
1993,"NC",71058.771098
1994,"NC",73417.92438
1995,"NC",77946.16142
1996,"NC",80846.29979
1997,"NC",84835.909399
1998,"NC",88774.091666
1999,"NC",92278.156425
2000,"NC",96683.928603
2001,"NC",100078.95475
2002,"NC",102692.38888
2003,"NC",105722.12577
2004,"NC",108593.45853
2005,"NC",114620.58381
2006,"NC",124190.47709
2007,"NC",131567.65423
2008,"NC",132863.49335
2009,"NC",127160.76955
2010,"NC",121935.95103
2011,"NC",115377.42847
2012,"NC",113564.04279
2013,"NC",115258.6211
2014,"NC",121223.35039
2015,"NC",125489.00506
2016,"NC",132577.17215
2017,"NC",140567.13225
2018,"NC",151495.92895
1975,"ND",40257.44963
1976,"ND",44321.785956
1977,"ND",49541.89143
1978,"ND",53066.817058
1979,"ND",58087.634485
1980,"ND",60998.155687
1981,"ND",60066.924694
1982,"ND",58897.025738
1983,"ND",57799.140317
1984,"ND",69451.295311
1985,"ND",69142.871352
1986,"ND",69419.455686
1987,"ND",68506.327791
1988,"ND",67197.713225
1989,"ND",66192.091396
1990,"ND",69540.55002
1991,"ND",69727.944398
1992,"ND",72175.994246
1993,"ND",75726.385279
1994,"ND",79935.896179
1995,"ND",85163.591911
1996,"ND",87918.620308
1997,"ND",89665.855082
1998,"ND",93012.081864
1999,"ND",95127.720053
2000,"ND",98026.051288
2001,"ND",100323.57552
2002,"ND",104217.02846
2003,"ND",110564.50785
2004,"ND",116933.78414
2005,"ND",125402.0075
2006,"ND",136115.66357
2007,"ND",142048.63375
2008,"ND",145847.54812
2009,"ND",148657.63718
2010,"ND",152914.54115
2011,"ND",156485.6204
2012,"ND",164946.70404
2013,"ND",178973.18
2014,"ND",193653.99584
2015,"ND",205945.24179
2016,"ND",212468.36557
2017,"ND",215859.97741
2018,"ND",216932.66663
1975,"NE",31173.869418
1976,"NE",32656.597605
1977,"NE",35765.324414
1978,"NE",40315.219748
1979,"NE",44196.798937
1980,"NE",49095.259311
1981,"NE",51483.901666
1982,"NE",52911.543099
1983,"NE",54194.51222
1984,"NE",56690.321453
1985,"NE",55976.470155
1986,"NE",57027.557609
1987,"NE",57504.283168
1988,"NE",57086.473935
1989,"NE",58016.541997
1990,"NE",60677.498903
1991,"NE",62928.17225
1992,"NE",65653.09671
1993,"NE",70096.582512
1994,"NE",74638.857593
1995,"NE",78127.34538
1996,"NE",80685.744472
1997,"NE",85715.722735
1998,"NE",90851.707196
1999,"NE",95497.509261
2000,"NE",97656.463444
2001,"NE",100075.73558
2002,"NE",103807.78378
2003,"NE",107577.12387
2004,"NE",111010.09981
2005,"NE",115330.89541
2006,"NE",118967.64479
2007,"NE",119802.23935
2008,"NE",117644.65264
2009,"NE",115623.98699
2010,"NE",117138.5126
2011,"NE",115107.42208
2012,"NE",114457.90178
2013,"NE",119349.52198
2014,"NE",124111.81389
2015,"NE",129381.57418
2016,"NE",134773.8038
2017,"NE",141949.54786
2018,"NE",152376.35498
1975,"NH",22890.071033
1976,"NH",23929.138906
1977,"NH",26304.031047
1978,"NH",28832.487076
1979,"NH",32716.511311
1980,"NH",35373.964983
1981,"NH",36870.827548
1982,"NH",37728.058819
1983,"NH",39308.098078
1984,"NH",43444.717238
1985,"NH",49662.816924
1986,"NH",62186.736399
1987,"NH",75359.609761
1988,"NH",81864.351788
1989,"NH",83156.64981
1990,"NH",82049.614577
1991,"NH",73224.291669
1992,"NH",67969.229973
1993,"NH",64240.99357
1994,"NH",64037.330406
1995,"NH",65001.742783
1996,"NH",66485.91306
1997,"NH",68979.413073
1998,"NH",72390.777802
1999,"NH",79494.196331
2000,"NH",88365.264367
2001,"NH",101015.81585
2002,"NH",113072.34687
2003,"NH",128089.08302
2004,"NH",140651.45597
2005,"NH",153906.3436
2006,"NH",160329.27106
2007,"NH",155210.43409
2008,"NH",146549.09336
2009,"NH",136377.69243
2010,"NH",133029.41339
2011,"NH",126883.5219
2012,"NH",123447.96457
2013,"NH",125691.82973
2014,"NH",132432.78174
2015,"NH",137093.87833
2016,"NH",143383.52253
2017,"NH",151916.06499
2018,"NH",161233.00324
1975,"NJ",22833.266441
1976,"NJ",22863.936435
1977,"NJ",23563.673435
1978,"NJ",27308.344187
1979,"NJ",28869.790998
1980,"NJ",33447.636836
1981,"NJ",36140.463226
1982,"NJ",37627.192436
1983,"NJ",38476.859048
1984,"NJ",41804.662054
1985,"NJ",47467.604479
1986,"NJ",55980.882638
1987,"NJ",69887.297292
1988,"NJ",80943.887291
1989,"NJ",83334.785803
1990,"NJ",82379.834204
1991,"NJ",76718.925081
1992,"NJ",76482.983804
1993,"NJ",76318.178784
1994,"NJ",75985.774899
1995,"NJ",76551.977861
1996,"NJ",76037.104925
1997,"NJ",77430.49553
1998,"NJ",79302.061006
1999,"NJ",83826.350628
2000,"NJ",91401.287037
2001,"NJ",100950.56466
2002,"NJ",112320.42351
2003,"NJ",130231.74686
2004,"NJ",146862.12082
2005,"NJ",167289.27685
2006,"NJ",185862.90345
2007,"NJ",184279.11733
2008,"NJ",177885.10123
2009,"NJ",163398.18984
2010,"NJ",157932.59887
2011,"NJ",151425.45839
2012,"NJ",142989.28657
2013,"NJ",143107.28613
2014,"NJ",149525.51342
2015,"NJ",151383.32382
2016,"NJ",153615.13995
2017,"NJ",157562.50357
2018,"NJ",166802.48299
1975,"NM",27787.610045
1976,"NM",29383.489402
1977,"NM",32930.28158
1978,"NM",37909.627086
1979,"NM",43643.609998
1980,"NM",50364.304669
1981,"NM",52305.087712
1982,"NM",55621.186609
1983,"NM",57917.505347
1984,"NM",61071.673452
1985,"NM",62901.231798
1986,"NM",65586.766817
1987,"NM",67141.540656
1988,"NM",66945.872534
1989,"NM",66811.379139
1990,"NM",69102.215963
1991,"NM",69274.636016
1992,"NM",72426.491452
1993,"NM",75709.153545
1994,"NM",83091.809433
1995,"NM",90700.691584
1996,"NM",92925.378608
1997,"NM",94425.73925
1998,"NM",94851.160658
1999,"NM",97401.371521
2000,"NM",99209.059062
2001,"NM",100281.70488
2002,"NM",103452.09862
2003,"NM",109949.36004
2004,"NM",117222.04146
2005,"NM",128682.78456
2006,"NM",147150.48588
2007,"NM",160505.79198
2008,"NM",158591.72916
2009,"NM",149188.32137
2010,"NM",144365.13853
2011,"NM",137651.01028
2012,"NM",132175.09143
2013,"NM",133921.81435
2014,"NM",136377.25591
2015,"NM",138907.94622
2016,"NM",142910.1346
2017,"NM",148401.41377
2018,"NM",155224.04129
1975,"NV",27449.523627
1976,"NV",31242.552776
1977,"NV",32454.311152
1978,"NV",38661.465572
1979,"NV",47065.049077
1980,"NV",52710.990658
1981,"NV",57729.12164
1982,"NV",61994.833309
1983,"NV",62478.175775
1984,"NV",62369.927636
1985,"NV",60928.350193
1986,"NV",62515.606597
1987,"NV",64252.033807
1988,"NV",65311.86827
1989,"NV",68376.764298
1990,"NV",72579.61184
1991,"NV",77928.669765
1992,"NV",79700.911625
1993,"NV",80956.041516
1994,"NV",82237.342826
1995,"NV",85981.20788
1996,"NV",87455.785652
1997,"NV",89302.83395
1998,"NV",90367.008326
1999,"NV",92429.183935
2000,"NV",96171.953551
2001,"NV",100545.22823
2002,"NV",107475.98009
2003,"NV",116894.05451
2004,"NV",138286.95623
2005,"NV",185879.46443
2006,"NV",210261.66741
2007,"NV",202358.72674
2008,"NV",169019.57496
2009,"NV",117193.72502
2010,"NV",99298.22358
2011,"NV",91782.165901
2012,"NV",84713.646897
2013,"NV",100879.90783
2014,"NV",123994.78375
2015,"NV",135544.73834
2016,"NV",149297.63903
2017,"NV",162178.38695
2018,"NV",183861.53077
1975,"NY",23849.73599
1976,"NY",23809.441965
1977,"NY",23684.147532
1978,"NY",25278.289449
1979,"NY",26991.240943
1980,"NY",28852.185362
1981,"NY",31877.958332
1982,"NY",33581.838583
1983,"NY",37028.105414
1984,"NY",42705.673878
1985,"NY",49859.439849
1986,"NY",58682.764416
1987,"NY",69307.729646
1988,"NY",78173.84381
1989,"NY",80960.285185
1990,"NY",81624.725956
1991,"NY",78868.796811
1992,"NY",78064.304999
1993,"NY",78024.054414
1994,"NY",76849.882296
1995,"NY",76882.855349
1996,"NY",76573.455507
1997,"NY",77450.7541
1998,"NY",79360.948266
1999,"NY",84512.655458
2000,"NY",92417.119721
2001,"NY",100613.82436
2002,"NY",110684.51579
2003,"NY",125642.45155
2004,"NY",138508.65625
2005,"NY",153527.20942
2006,"NY",166409.37966
2007,"NY",165151.86091
2008,"NY",164539.04854
2009,"NY",156072.75456
2010,"NY",153113.3616
2011,"NY",150476.32845
2012,"NY",145342.46986
2013,"NY",147658.13347
2014,"NY",152500.56999
2015,"NY",155077.94368
2016,"NY",160327.31385
2017,"NY",168726.00346
2018,"NY",179937.91564
1975,"OH",30322.620336
1976,"OH",31982.11088
1977,"OH",34261.514602
1978,"OH",38593.129978
1979,"OH",43526.588155
1980,"OH",46178.951272
1981,"OH",48038.529705
1982,"OH",47181.224221
1983,"OH",47566.876665
1984,"OH",49762.788898
1985,"OH",49584.661811
1986,"OH",51437.043618
1987,"OH",54573.999537
1988,"OH",58210.491524
1989,"OH",61359.621247
1990,"OH",64727.638194
1991,"OH",67051.917406
1992,"OH",70027.142191
1993,"OH",72746.888835
1994,"OH",76298.078609
1995,"OH",79876.702177
1996,"OH",83251.188237
1997,"OH",86475.786542
1998,"OH",89250.542104
1999,"OH",92837.305989
2000,"OH",96997.660292
2001,"OH",100073.45393
2002,"OH",103566.20824
2003,"OH",106752.70335
2004,"OH",109544.32433
2005,"OH",112550.62138
2006,"OH",114781.1705
2007,"OH",113397.96361
2008,"OH",107481.94484
2009,"OH",100395.07579
2010,"OH",100993.61318
2011,"OH",95911.08572
2012,"OH",94798.069214
2013,"OH",96420.10744
2014,"OH",101560.56864
2015,"OH",105072.45967
2016,"OH",110754.08674
2017,"OH",115671.78771
2018,"OH",123631.90426
1975,"OK",37523.968984
1976,"OK",39313.716698
1977,"OK",42944.474816
1978,"OK",49953.816192
1979,"OK",59850.798622
1980,"OK",67847.437957
1981,"OK",70962.275354
1982,"OK",77765.061093
1983,"OK",82208.93925
1984,"OK",83000.954439
1985,"OK",80311.668756
1986,"OK",76573.78265
1987,"OK",73369.06291
1988,"OK",66237.858748
1989,"OK",65358.458618
1990,"OK",66306.665813
1991,"OK",67621.812189
1992,"OK",70884.837128
1993,"OK",72923.314621
1994,"OK",77104.108207
1995,"OK",80501.990721
1996,"OK",82748.982347
1997,"OK",85573.199365
1998,"OK",88221.451504
1999,"OK",93068.347003
2000,"OK",96531.779606
2001,"OK",100009.34798
2002,"OK",103989.61287
2003,"OK",108152.97222
2004,"OK",111986.70632
2005,"OK",116381.86811
2006,"OK",123758.717
2007,"OK",128939.35118
2008,"OK",130475.19165
2009,"OK",129211.19453
2010,"OK",131502.21571
2011,"OK",127466.1971
2012,"OK",128318.58678
2013,"OK",132197.25904
2014,"OK",136435.29715
2015,"OK",142812.20856
2016,"OK",146973.97193
2017,"OK",150105.28506
2018,"OK",156452.23214
1975,"OR",19683.610964
1976,"OR",22877.810237
1977,"OR",27280.630891
1978,"OR",32164.936008
1979,"OR",38337.56269
1980,"OR",41390.189398
1981,"OR",42051.474396
1982,"OR",39125.146768
1983,"OR",42179.68673
1984,"OR",40594.864877
1985,"OR",41535.53006
1986,"OR",39174.234086
1987,"OR",39779.200757
1988,"OR",39687.8912
1989,"OR",42445.718435
1990,"OR",47374.453939
1991,"OR",53764.415123
1992,"OR",58603.881862
1993,"OR",63508.227125
1994,"OR",69462.125886
1995,"OR",77131.675284
1996,"OR",81653.841621
1997,"OR",87769.495269
1998,"OR",90634.635611
1999,"OR",94236.748073
2000,"OR",97965.45881
2001,"OR",100338.51302
2002,"OR",105349.373
2003,"OR",111785.47565
2004,"OR",119838.56127
2005,"OR",135511.30547
2006,"OR",163195.87072
2007,"OR",176272.99396
2008,"OR",172751.53091
2009,"OR",154523.78394
2010,"OR",143775.80975
2011,"OR",130916.34791
2012,"OR",127363.35768
2013,"OR",138047.50811
2014,"OR",153911.74866
2015,"OR",163966.48475
2016,"OR",182154.09263
2017,"OR",200756.26632
2018,"OR",215789.83612
1975,"PA",28980.390919
1976,"PA",30905.769669
1977,"PA",32738.257076
1978,"PA",36023.904686
1979,"PA",39645.893885
1980,"PA",43403.123813
1981,"PA",44849.892087
1982,"PA",45060.186856
1983,"PA",46226.471751
1984,"PA",49938.910229
1985,"PA",51909.152784
1986,"PA",55600.610345
1987,"PA",62599.082571
1988,"PA",70913.034512
1989,"PA",78151.940353
1990,"PA",82034.831082
1991,"PA",82397.830522
1992,"PA",84064.540176
1993,"PA",84812.529205
1994,"PA",85316.884287
1995,"PA",85971.53014
1996,"PA",86099.391603
1997,"PA",87662.536514
1998,"PA",88642.031569
1999,"PA",91616.412205
2000,"PA",96027.098288
2001,"PA",100311.87792
2002,"PA",107259.3439
2003,"PA",117035.41389
2004,"PA",127298.85918
2005,"PA",141148.59997
2006,"PA",153565.08027
2007,"PA",158239.62655
2008,"PA",158063.77555
2009,"PA",150669.03053
2010,"PA",150347.04029
2011,"PA",145122.98792
2012,"PA",142127.37894
2013,"PA",144780.82386
2014,"PA",148015.69904
2015,"PA",151126.10885
2016,"PA",153776.38326
2017,"PA",160314.13076
2018,"PA",168730.57386
1975,"RI",20165.461336
1976,"RI",22478.510345
1977,"RI",24564.76282
1978,"RI",26567.572993
1979,"RI",31393.018914
1980,"RI",33786.571374
1981,"RI",34341.989597
1982,"RI",34544.27046
1983,"RI",36366.529617
1984,"RI",39604.291891
1985,"RI",43769.57767
1986,"RI",51446.020796
1987,"RI",68506.573955
1988,"RI",84392.505218
1989,"RI",87434.595649
1990,"RI",89955.988021
1991,"RI",86513.342367
1992,"RI",82165.571926
1993,"RI",79816.897235
1994,"RI",77740.001252
1995,"RI",77596.746002
1996,"RI",76130.758482
1997,"RI",77514.678786
1998,"RI",78085.770405
1999,"RI",81937.001556
2000,"RI",90114.267151
2001,"RI",100971.71855
2002,"RI",115443.80504
2003,"RI",138955.57174
2004,"RI",162572.57211
2005,"RI",185390.91068
2006,"RI",194876.92327
2007,"RI",188481.7677
2008,"RI",175422.43693
2009,"RI",153338.22121
2010,"RI",149416.58718
2011,"RI",143870.24565
2012,"RI",137130.25733
2013,"RI",137280.85362
2014,"RI",143413.62899
2015,"RI",149195.27092
2016,"RI",156600.79093
2017,"RI",166367.37941
2018,"RI",180247.22306
1975,"SC",31701.849441
1976,"SC",31742.941996
1977,"SC",33309.107843
1978,"SC",36215.536609
1979,"SC",39763.956515
1980,"SC",43727.126088
1981,"SC",46954.464205
1982,"SC",50563.132814
1983,"SC",49763.635367
1984,"SC",53337.854977
1985,"SC",54580.329671
1986,"SC",57111.162088
1987,"SC",60005.582002
1988,"SC",62952.406525
1989,"SC",64748.507926
1990,"SC",67043.463923
1991,"SC",68673.791993
1992,"SC",70505.187221
1993,"SC",71841.928621
1994,"SC",73649.324837
1995,"SC",76982.701994
1996,"SC",78733.807646
1997,"SC",82001.944144
1998,"SC",86259.851279
1999,"SC",90988.056517
2000,"SC",96532.554572
2001,"SC",100263.29635
2002,"SC",103841.24139
2003,"SC",106261.11308
2004,"SC",111055.61863
2005,"SC",117567.66512
2006,"SC",128401.74362
2007,"SC",135890.16365
2008,"SC",136001.86749
2009,"SC",128827.59346
2010,"SC",124204.54379
2011,"SC",116568.13384
2012,"SC",114610.44773
2013,"SC",115377.81058
2014,"SC",121487.43286
2015,"SC",127226.1422
2016,"SC",135156.28466
2017,"SC",142431.30683
2018,"SC",151808.30084
1975,"SD",37463.248514
1976,"SD",35271.35432
1977,"SD",38192.855038
1978,"SD",43003.479557
1979,"SD",45284.169944
1980,"SD",49248.448245
1981,"SD",50469.194395
1982,"SD",46638.259257
1983,"SD",50440.510629
1984,"SD",54376.647538
1985,"SD",58157.249251
1986,"SD",57594.225393
1987,"SD",58572.74703
1988,"SD",58083.103763
1989,"SD",57413.504117
1990,"SD",60096.959676
1991,"SD",62820.654573
1992,"SD",65909.054919
1993,"SD",69914.898471
1994,"SD",75569.595735
1995,"SD",79761.386665
1996,"SD",82418.615801
1997,"SD",85191.637587
1998,"SD",89166.672656
1999,"SD",91612.19437
2000,"SD",96194.631588
2001,"SD",100202.67991
2002,"SD",104586.60301
2003,"SD",108544.63184
2004,"SD",114335.54028
2005,"SD",119601.88039
2006,"SD",126710.09987
2007,"SD",131034.49688
2008,"SD",133852.5213
2009,"SD",133903.4784
2010,"SD",135201.85609
2011,"SD",132386.53467
2012,"SD",132028.32021
2013,"SD",139023.27864
2014,"SD",145315.03646
2015,"SD",150388.84797
2016,"SD",158700.75834
2017,"SD",163304.62706
2018,"SD",171949.20105
1975,"TN",32390.954056
1976,"TN",34629.672567
1977,"TN",35339.504372
1978,"TN",39944.908967
1979,"TN",42715.288887
1980,"TN",46297.90142
1981,"TN",47591.687909
1982,"TN",50456.00424
1983,"TN",51419.289955
1984,"TN",53398.312412
1985,"TN",56110.339302
1986,"TN",58792.0628
1987,"TN",62494.594311
1988,"TN",65317.152566
1989,"TN",66502.936758
1990,"TN",68306.591476
1991,"TN",68278.755576
1992,"TN",69195.101716
1993,"TN",70973.484586
1994,"TN",74745.49789
1995,"TN",79296.308334
1996,"TN",83551.133387
1997,"TN",87221.705009
1998,"TN",90272.221635
1999,"TN",94798.063371
2000,"TN",98381.465298
2001,"TN",100085.40867
2002,"TN",103378.83814
2003,"TN",106754.45358
2004,"TN",110459.24575
2005,"TN",116710.96076
2006,"TN",126207.36239
2007,"TN",132932.92318
2008,"TN",133167.21619
2009,"TN",125954.55404
2010,"TN",123400.28521
2011,"TN",119199.05956
2012,"TN",118286.58428
2013,"TN",123107.67607
2014,"TN",129740.31655
2015,"TN",135424.81817
2016,"TN",143171.89504
2017,"TN",153153.26213
2018,"TN",165222.06874
1975,"TX",32658.956128
1976,"TX",34659.288917
1977,"TX",37395.917298
1978,"TX",42463.023717
1979,"TX",49145.340831
1980,"TX",57596.482794
1981,"TX",61559.040169
1982,"TX",68002.99357
1983,"TX",70391.188968
1984,"TX",73467.076456
1985,"TX",75682.469523
1986,"TX",75573.597663
1987,"TX",73539.734336
1988,"TX",68273.660656
1989,"TX",66288.350144
1990,"TX",67325.646084
1991,"TX",68029.430552
1992,"TX",69930.275631
1993,"TX",71627.273011
1994,"TX",74601.845142
1995,"TX",76386.554475
1996,"TX",78895.940962
1997,"TX",80548.753864
1998,"TX",83772.575354
1999,"TX",88527.770023
2000,"TX",94727.226477
2001,"TX",100631.20554
2002,"TX",104220.36504
2003,"TX",108185.49117
2004,"TX",110663.49092
2005,"TX",114421.33981
2006,"TX",121295.67759
2007,"TX",128014.01511
2008,"TX",130050.7654
2009,"TX",127286.12154
2010,"TX",128816.32421
2011,"TX",125669.60709
2012,"TX",126374.1475
2013,"TX",134518.82623
2014,"TX",146204.72078
2015,"TX",157796.38761
2016,"TX",169005.02567
2017,"TX",180810.17206
2018,"TX",193251.3956
1975,"UT",24781.341365
1976,"UT",27007.556123
1977,"UT",29715.787426
1978,"UT",33932.459376
1979,"UT",40092.244545
1980,"UT",43344.915879
1981,"UT",45847.951836
1982,"UT",46597.049613
1983,"UT",49466.588546
1984,"UT",49652.985557
1985,"UT",50117.180749
1986,"UT",49927.655545
1987,"UT",50154.625354
1988,"UT",48499.455235
1989,"UT",47579.442827
1990,"UT",49420.347924
1991,"UT",51164.24413
1992,"UT",54616.80134
1993,"UT",59868.0531
1994,"UT",69429.744671
1995,"UT",79611.677839
1996,"UT",85071.719451
1997,"UT",90734.288202
1998,"UT",93201.846198
1999,"UT",95631.193073
2000,"UT",98229.596314
2001,"UT",99998.674455
2002,"UT",101494.42133
2003,"UT",102407.00661
2004,"UT",105528.47243
2005,"UT",113382.18218
2006,"UT",131092.58634
2007,"UT",152645.08222
2008,"UT",155207.17878
2009,"UT",138260.79168
2010,"UT",129575.26589
2011,"UT",121235.96644
2012,"UT",119588.59789
2013,"UT",130465.79681
2014,"UT",142574.90357
2015,"UT",148838.93469
2016,"UT",160554.12839
2017,"UT",172564.49085
2018,"UT",191218.51577
1975,"VA",27788.206319
1976,"VA",28868.747711
1977,"VA",30673.144476
1978,"VA",33369.917192
1979,"VA",37540.339568
1980,"VA",41232.627255
1981,"VA",44945.768363
1982,"VA",45620.476383
1983,"VA",47747.181058
1984,"VA",50660.785949
1985,"VA",53306.502726
1986,"VA",55908.409166
1987,"VA",60661.836049
1988,"VA",67425.77873
1989,"VA",73976.382726
1990,"VA",77805.341603
1991,"VA",77211.162081
1992,"VA",77721.9406
1993,"VA",77579.677505
1994,"VA",78607.833876
1995,"VA",80368.175068
1996,"VA",80624.510374
1997,"VA",82202.557064
1998,"VA",83586.336853
1999,"VA",87380.72407
2000,"VA",92692.539643
2001,"VA",100707.27746
2002,"VA",110394.14769
2003,"VA",122427.71593
2004,"VA",138004.91281
2005,"VA",164121.46806
2006,"VA",187715.47117
2007,"VA",188195.4048
2008,"VA",177390.26809
2009,"VA",157650.07716
2010,"VA",160052.01546
2011,"VA",152886.40434
2012,"VA",151795.3184
2013,"VA",158438.25965
2014,"VA",166804.77483
2015,"VA",170452.76127
2016,"VA",174230.26251
2017,"VA",180402.30275
2018,"VA",189133.82998
1975,"VT",27916.940591
1976,"VT",29313.064389
1977,"VT",31003.311427
1978,"VT",33760.035107
1979,"VT",38008.211953
1980,"VT",39990.938086
1981,"VT",43306.738965
1982,"VT",40890.483336
1983,"VT",43389.510652
1984,"VT",46129.250862
1985,"VT",49249.709284
1986,"VT",53836.307566
1987,"VT",62250.394494
1988,"VT",71281.737323
1989,"VT",79554.416961
1990,"VT",83837.33074
1991,"VT",82962.345762
1992,"VT",81023.015791
1993,"VT",81342.376474
1994,"VT",81967.615972
1995,"VT",81889.105443
1996,"VT",82312.529995
1997,"VT",83561.210262
1998,"VT",83733.001478
1999,"VT",87311.325696
2000,"VT",94580.041378
2001,"VT",100894.78821
2002,"VT",109740.83098
2003,"VT",119530.03716
2004,"VT",131670.49261
2005,"VT",149861.59376
2006,"VT",163698.22324
2007,"VT",167204.04423
2008,"VT",164634.76322
2009,"VT",161743.95847
2010,"VT",158465.62439
2011,"VT",157737.31645
2012,"VT",156491.76827
2013,"VT",157954.22702
2014,"VT",159646.764
2015,"VT",158728.23064
2016,"VT",164358.82613
2017,"VT",168007.68081
2018,"VT",177915.88188
1975,"WA",17481.31378
1976,"WA",18953.097239
1977,"WA",21675.586842
1978,"WA",26841.294879
1979,"WA",32136.401683
1980,"WA",36754.170656
1981,"WA",37761.337377
1982,"WA",39608.715208
1983,"WA",38197.13707
1984,"WA",38673.372781
1985,"WA",40862.184841
1986,"WA",41157.361287
1987,"WA",42522.631569
1988,"WA",43782.199758
1989,"WA",46933.532608
1990,"WA",56827.197908
1991,"WA",63738.954502
1992,"WA",67408.757334
1993,"WA",70384.417487
1994,"WA",73396.047643
1995,"WA",76692.978583
1996,"WA",77183.076804
1997,"WA",80213.483962
1998,"WA",84941.18962
1999,"WA",90282.658876
2000,"WA",96472.327151
2001,"WA",100489.49444
2002,"WA",105125.70917
2003,"WA",110966.53805
2004,"WA",119939.5821
2005,"WA",135086.6805
2006,"WA",158917.44178
2007,"WA",174774.00683
2008,"WA",173772.96472
2009,"WA",153383.14211
2010,"WA",144476.97632
2011,"WA",132878.23639
2012,"WA",124612.29532
2013,"WA",136526.50887
2014,"WA",148057.77986
2015,"WA",160254.66392
2016,"WA",178264.81735
2017,"WA",198521.89565
2018,"WA",225377.94665
1975,"WI",27784.808956
1976,"WI",30794.189975
1977,"WI",32925.74573
1978,"WI",38123.517892
1979,"WI",41821.221845
1980,"WI",43947.284128
1981,"WI",45225.349678
1982,"WI",39661.854342
1983,"WI",45650.914198
1984,"WI",46278.811479
1985,"WI",46562.238074
1986,"WI",48221.382733
1987,"WI",49608.673612
1988,"WI",51407.087267
1989,"WI",54093.250268
1990,"WI",57160.28986
1991,"WI",59673.822111
1992,"WI",62613.139955
1993,"WI",67186.546718
1994,"WI",72877.106307
1995,"WI",76630.78009
1996,"WI",80237.31029
1997,"WI",83220.855559
1998,"WI",86142.577357
1999,"WI",90241.18403
2000,"WI",96284.971529
2001,"WI",100221.54614
2002,"WI",106062.91954
2003,"WI",112570.79505
